Station_ID,Functional_Class,LatLong,Lat,Long,AADT_2017,TruckPct_2017,AADT_2016,TruckPct_2016,AADT_2015,TruckPct_2015,AADT_2014,TruckPct_2014,AADT_2013,TruckPct_2013,AADT_2012,TruckPct_2012,AADT_2011,TruckPct_2011,AADT_2010,TruckPct_2010,AADT_2009,TruckPct_2009,AADT_2008,TruckPct_2008,ObjectId
001-0183,4R : Rural Minor Arterial,"31.831560, -82.086470",31.83156,-82.08647,990,18.2,940,18.2,880,18.1,850,19.2,867,16.5,850,16.5,830,16.1,870,17.1,830,16.7,820,18.5,1
013-0056,4U : Urban Minor Arterial,"33.965165, -83.717955",33.965165,-83.717955,,,11600,8.2,9020,8.2,8780,8.4,8470,9,8490,8.7,8940,8.7,9090,8.7,8500,,8390,,2
005-0143,4R : Rural Minor Arterial,"31.540988, -82.564691",31.540988,-82.564691,5390,8.8,5230,8,3780,5.3,3600,5.6,3930,18.9,3920,18.9,4160,,4240,,3670,,3620,17.3,3
067-9006,1U : Urban Principal Arterial – Interstate,"33.896810, -84.466500",33.89681,-84.4665,,,,,,,,,,,,,,,,,,,,,4
001-0185,5R : Rural Major Collector,"31.602850, -82.308160",31.60285,-82.30816,450,16,480,17.7,490,17.8,480,17.7,518,15.1,480,13.3,520,13.7,640,16.4,650,18.8,620,21.3,5
003-0132,3R : Rural Principal Arterial – Other,"31.307110, -82.901540",31.30711,-82.90154,4660,23.5,4600,23.5,4550,23.7,4360,24.5,4360,23.6,4410,24.5,4470,24,4650,22.9,4630,22.6,4730,23.8,6
003-0138,3R : Rural Principal Arterial – Other,"31.295800, -82.839800",31.2958,-82.8398,4470,23.6,4390,23.7,4310,21.7,4170,24.4,4112,24.7,4160,25,4220,24.9,4340,24,4280,23.1,4290,25.8,7
005-0125,3R : Rural Principal Arterial – Other,"31.608610, -82.461860",31.60861,-82.46186,5300,17,5140,17.3,4840,19,4620,19.7,4480,19.6,4670,19.5,4590,17.5,4670,16.6,4530,14.7,4380,16.8,8
009-0156,4R : Rural Minor Arterial,"33.086990, -83.172170",33.08699,-83.17217,8410,6.7,9190,8.7,9070,9.2,8710,8.6,8606,8.1,8630,7.9,8760,8.4,8900,8.7,9000,8.3,9060,8.5,9
011-0103,3R : Rural Principal Arterial – Other,"34.279330, -83.465300",34.27933,-83.4653,13700,7.4,12700,7.4,12000,7.4,11300,7.4,10943,7.1,10920,7.5,11010,7.3,11280,7.3,11180,7.5,11190,8.1,10
