Station ID,Functional Class,Latitude,Longitude,AADT_2024,Truck%_2024,AADT_2023,Truck%_2023,AADT_2022,Truck%_2022,AADT_2021,Truck%_2021,AADT_2020,Truck%_2020,AADT_2019,Truck%_2019,AADT_2018,Truck%_2018,AADT_2017,Truck%_2017,AADT_2016,Truck%_2016,AADT_2015,Truck%_2015,AADT_2014,Truck%_2014
"001-0101",3U : Urban Principal Arterial - Other,31.715363,-82.381788,4760,16.6,4720,16.6,4690,16.6,4590,16.6,3840,16.2,4080,16.2,4110,16.2,4030,16.2,4090,30.6,3080,21.9,3000,15.6
"001-0105",3U : Urban Principal Arterial - Other,31.767430,-82.353490,12900,9.0,12600,16.3,12500,16.3,12300,16.2,11600,16.2,12300,16.2,12400,16.2,9160,,9020,14.2,8720,14.2,8480,14.6
"001-0107",3U : Urban Principal Arterial - Other,31.773846,-82.350339,14800,9.9,16100,14.7,16000,14.7,15700,14.6,13000,16.5,13800,16.5,13900,16.5,13600,16.5,12900,6.5,13500,8.7,12400,17.5
"001-0109",3U : Urban Principal Arterial - Other,31.779416,-82.348327,11900,13.6,11800,13.7,15000,5.7,14700,5.7,13800,5.7,14700,5.7,14800,5.7,12700,,12500,10.0,12100,10.0,11800,10.2
"001-0112",3U : Urban Principal Arterial - Other,31.786264,-82.350183,9600,10.6,8460,12.2,8400,12.2,8220,12.2,7730,12.2,8220,12.2,8270,12.2,8110,12.2,8190,24.8,9560,9.7,7700,12.4
"001-0114",3U : Urban Principal Arterial - Other,31.836979,-82.350421,7020,21.5,5620,17.0,5580,17.0,5460,17.0,5140,17.0,7090,8.3,7130,8.4,5770,,5680,21.9,5490,21.9,5340,22.5
"001-0118",3R : Rural Principal Arterial - Other,31.909228,-82.356139,6160,17.7,6050,17.7,5940,17.7,5880,17.7,5960,7.9,6290,7.9,6110,7.9,6080,7.9,6150,11.9,5450,24.0,5200,15.6
"001-0121",4R : Rural Minor Arterial,31.545377,-82.207377,2210,,2170,,2130,,2380,,2220,,2340,,2270,,2000,,1940,17.2,1860,17.2,1770,18.0
"001-0123",4R : Rural Minor Arterial,31.619641,-82.256294,1780,25.6,1740,25.7,1770,25.6,1750,25.7,1820,13.4,1930,13.3,1870,13.3,1860,13.3,2080,23.6,1790,34.7,1700,24.8
"001-0125",4U : Urban Minor Arterial,31.681809,-82.302278,2750,22.9,2330,22.9,2310,22.9,1730,22.9,1630,22.8,2090,,2110,,2090,,2060,20.4,1990,20.5,1940,21.0
"001-0127",4U : Urban Minor Arterial,31.715192,-82.333471,3450,19.3,3450,15.5,3430,15.5,3350,15.6,3420,5.0,3640,5.0,3660,5.0,3590,5.0,2650,9.5,4340,5.6,2400,17.8
"001-0129",4U : Urban Minor Arterial,31.754227,-82.351713,5170,10.0,5130,10.0,5090,10.0,4960,10.0,4670,10.0,6280,,6320,,6210,,6120,30.5,5920,30.5,5760,31.4
"001-0132",4U : Urban Minor Arterial,31.762393,-82.354255,7670,9.8,7850,9.0,7800,9.0,7630,9.0,10500,4.5,11100,4.5,11200,4.5,11000,4.5,10700,12.8,9190,5.3,7400,9.0
"001-0133",4R : Rural Minor Arterial,31.713413,-82.520596,2030,26.5,1990,26.5,1960,26.4,1450,30.1,1360,29.9,2220,17.5,2160,17.5,1850,,1790,28.3,1720,28.3,1640,29.7
"001-0134",4R : Rural Minor Arterial,31.747514,-82.544050,1970,27.5,1940,27.4,1900,27.5,1880,27.5,2160,7.1,2280,7.1,2210,7.1,2200,7.2,1410,9.1,1370,,1300,
"001-0136",3R : Rural Principal Arterial - Other,31.834715,-82.509436,6930,22.4,6810,22.4,6680,22.4,6170,28.5,5760,28.6,6900,26.1,6700,26.1,5470,,5310,22.0,5100,21.9,4850,23.1
"001-0138",3U : Urban Principal Arterial - Other,31.811259,-82.442870,7840,22.7,7780,22.6,7720,22.7,7560,22.6,6410,13.2,6810,13.2,6850,13.3,6720,13.2,5690,15.2,6840,22.2,5800,19.5
"001-0141",3U : Urban Principal Arterial - Other,31.780828,-82.355952,15100,12.9,14800,11.8,14700,11.8,14500,12.1,13700,12.0,13200,16.4,13300,16.4,12300,,12100,19.5,11700,19.5,11400,20.0
"001-0143",3U : Urban Principal Arterial - Other,31.775727,-82.340071,11100,12.9,11200,11.1,11100,11.1,10800,11.2,10200,11.2,10800,11.2,10900,11.2,10700,11.2,9340,13.4,10800,9.6,8700,17.4
"001-0145",3U : Urban Principal Arterial - Other,31.745106,-82.253012,5020,30.3,5430,26.7,5390,26.7,4550,34.2,4280,34.3,3860,18.0,3890,17.9,3930,,3870,17.6,3740,17.6,3640,18.0
"001-0152",3R : Rural Principal Arterial - Other,31.723267,-82.186845,5590,31.1,5490,31.1,5390,31.1,5330,31.1,4100,16.6,4330,16.6,4200,16.6,4180,16.6,4470,32.1,4100,37.0,3900,25.9
"001-0156",5R : Rural Major Collector,31.591762,-82.272027,1010,23.4,900,17.9,890,17.9,880,17.8,1010,8.5,1060,8.5,1060,8.5,1070,8.6,860,18.7,1160,18.9,800,25.8
"001-0158",5R : Rural Major Collector,31.589297,-82.218167,990,21.0,960,21.0,950,20.9,1000,15.6,950,15.6,990,15.6,990,15.6,1010,,980,17.1,930,17.3,890,18.1
