Station ID,Functional Class,Latitude,Longitude,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"001-0101",3U : Urban Principal Arterial - Other,31.715363,-82.381788,2024,4760,Estimated,380,410,11.781,4.384,0.0795,0.55,8250,Short Term
"001-0105",3U : Urban Principal Arterial - Other,31.767430,-82.353490,2024,12900,Actual,586,580,4.522,1.969,0.1064,0.52,23200,Short Term
"001-0107",3U : Urban Principal Arterial - Other,31.773846,-82.350339,2024,14800,Actual,801,666,4.758,3.248,0.0896,0.51,22100,Short Term
"001-0109",3U : Urban Principal Arterial - Other,31.779416,-82.348327,2024,11900,Estimated,878,746,5.278,3.981,0.0914,0.51,15000,Short Term
"001-0112",3U : Urban Principal Arterial - Other,31.786264,-82.350183,2024,9600,Actual,640,373,4.973,2.27,0.0963,0.61,12100,Short Term
"001-0114",3U : Urban Principal Arterial - Other,31.836979,-82.350421,2024,7020,Actual,750,762,12.678,5.413,0.1001,0.54,8850,Short Term
"001-0118",3R : Rural Principal Arterial - Other,31.909228,-82.356139,2024,6160,Estimated,410,681,4.703,8.384,0.0832,0.52,7760,Short Term
"001-0121",4R : Rural Minor Arterial,31.545377,-82.207377,2024,2210,Estimated,,,,,0.0948,0.51,3050,Short Term
"001-0123",4R : Rural Minor Arterial,31.619641,-82.256294,2024,1780,Estimated,201,255,8.075,8.075,0.1188,0.57,2240,Short Term
"001-0125",4U : Urban Minor Arterial,31.681809,-82.302278,2024,2750,Actual,278,352,,,0.1031,0.62,3750,Short Term
"001-0127",4U : Urban Minor Arterial,31.715192,-82.333471,2024,3450,Actual,357,310,6.299,3.937,0.1105,0.7,4350,Short Term
"001-0129",4U : Urban Minor Arterial,31.754227,-82.351713,2024,5170,Estimated,262,257,,,0.0904,0.59,6510,Short Term
"001-0132",4U : Urban Minor Arterial,31.762393,-82.354255,2024,7670,Actual,472,279,4.61,0.975,0.1472,0.52,9660,Short Term
"001-0133",4R : Rural Minor Arterial,31.713413,-82.520596,2024,2030,Estimated,178,359,11.864,10.734,0.0905,0.54,2770,Short Term
"001-0134",4R : Rural Minor Arterial,31.747514,-82.544050,2024,1970,Estimated,182,360,6.711,12.752,0.0792,0.58,3300,Short Term
"001-0136",3R : Rural Principal Arterial - Other,31.834715,-82.509436,2024,6930,Estimated,440,1112,3.922,7.843,0.0916,0.53,11400,Short Term
"001-0138",3U : Urban Principal Arterial - Other,31.811259,-82.442870,2024,7840,Estimated,470,1307,5.797,8.374,0.0822,0.59,11900,Short Term
"001-0141",3U : Urban Principal Arterial - Other,31.780828,-82.355952,2024,15100,Actual,866,1080,4.571,2.632,0.0955,0.54,23000,Short Term
"001-0143",3U : Urban Principal Arterial - Other,31.775727,-82.340071,2024,11100,Actual,679,753,6.748,4.686,0.0961,0.52,14900,Short Term
"001-0145",3U : Urban Principal Arterial - Other,31.745106,-82.253012,2024,5020,Actual,403,1116,6.726,17.04,0.0889,0.53,9030,Short Term
"001-0152",3R : Rural Principal Arterial - Other,31.723267,-82.186845,2024,5590,Estimated,302,1435,3.931,13.022,0.0763,0.54,9030,Short Term
"001-0156",5R : Rural Major Collector,31.591762,-82.272027,2024,1010,Actual,118,118,6.098,3.659,0.0809,0.57,1270,Short Term
"001-0158",5R : Rural Major Collector,31.589297,-82.218167,2024,990,Estimated,59,149,6.024,19.277,0.0873,0.53,1250,Short Term
"001-0161",5R : Rural Major Collector,31.590907,-82.179125,2024,1170,Actual,109,123,7.143,11.224,0.0838,0.53,1540,Short Term
"001-0163",4R : Rural Minor Arterial,31.577552,-82.208539,2024,540,Estimated,59,141,,,0.1108,0.71,680,Short Term
"001-0165",4R : Rural Minor Arterial,31.659808,-82.207844,2024,1280,Estimated,91,268,5.941,22.772,0.0829,0.53,1710,Short Term
"001-0169",4R : Rural Minor Arterial,31.726543,-82.196416,2024,1580,Actual,159,376,9.63,20.741,0.0854,0.57,1990,Short Term
"001-0170",4R : Rural Minor Arterial,31.776909,-82.155205,2024,1270,Estimated,111,262,12.121,16.162,0.0996,0.57,2350,Short Term
"001-0172",4R : Rural Minor Arterial,31.848848,-82.098418,2024,3860,Actual,380,822,12.693,15.789,0.0837,0.53,6790,Short Term
"001-0174",5U : Urban Major Collector,31.784200,-82.345930,2024,3540,Actual,,,,,0.0943,0.59,4560,Short Term
"001-0176",5U : Urban Major Collector,31.788694,-82.328623,2024,3390,Estimated,,,,,0.0835,0.55,6190,Short Term
"001-0178",4R : Rural Minor Arterial,31.795076,-82.280414,2024,3260,Estimated,219,395,5.618,6.742,0.0859,0.51,6220,Short Term
"001-0181",4R : Rural Minor Arterial,31.837396,-82.132140,2024,1990,Estimated,400,227,23.602,4.969,0.084,0.62,2510,Short Term
"001-0183",4R : Rural Minor Arterial,31.831560,-82.086470,2024,1170,Actual,35,163,2.344,9.375,0.1094,0.54,1840,CCS
"001-0185",5R : Rural Major Collector,31.602850,-82.308160,2024,380,Actual,14,22,6,4,0.1312,0.52,480,CCS
"001-0187",5U : Urban Major Collector,31.683151,-82.332266,2024,670,Actual,58,13,3.947,5.263,0.1139,0.67,840,Short Term
"001-0189",5U : Urban Major Collector,31.715164,-82.359191,2024,1180,Estimated,67,34,4.132,0.826,0.1085,0.59,1650,Short Term
"001-0194",5U : Urban Major Collector,31.759517,-82.369744,2024,1990,Actual,70,43,1.17,0.292,0.1717,0.53,2510,Short Term
"001-0196",5U : Urban Major Collector,31.769117,-82.356611,2024,2190,Actual,,,,,0.1161,0.5,5460,Short Term
"001-0198",5R : Rural Major Collector,31.733840,-82.520498,2024,430,Actual,,,,,0.1329,0.64,550,Short Term
"001-0201",5R : Rural Major Collector,31.765595,-82.517033,2024,330,Actual,,,,,0.0942,0.52,420,Short Term
"001-0203",5R : Rural Major Collector,31.820531,-82.507151,2024,560,Estimated,72,25,12.281,1.754,0.1059,0.54,800,Short Term
"001-0205",5R : Rural Major Collector,31.747649,-82.533079,2024,740,Estimated,,,,,0.0945,0.63,1340,Short Term
"001-0207",5R : Rural Major Collector,31.749789,-82.489680,2024,860,Actual,,,,,0.1103,0.61,1080,Short Term
"001-0209",5U : Urban Major Collector,31.770285,-82.419928,2024,1300,Actual,141,34,5.714,0.714,0.1077,0.56,1870,Short Term
"001-0212",5U : Urban Major Collector,31.777539,-82.355672,2024,3850,Estimated,,,,,0.0933,0.54,5200,Short Term
"001-0214",5R : Rural Major Collector,31.867804,-82.400627,2024,690,Actual,,,,,0.1235,0.53,870,Short Term
"001-0216",5R : Rural Major Collector,31.872260,-82.315478,2024,680,Estimated,,,,,0.1207,0.57,880,Short Term
"001-0218",5U : Urban Major Collector,31.810851,-82.308793,2024,1250,Estimated,70,31,,,0.1009,0.71,1580,Short Term
